Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
IMG5,https://github.com/ThalesSupport/aTVwallpaper/raw/main/IMG5.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
IMG6,https://github.com/ThalesSupport/aTVwallpaper/raw/main/IMG6.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
IMG7,https://github.com/ThalesSupport/aTVwallpaper/raw/main/IMG7.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
IMG8,https://github.com/ThalesSupport/aTVwallpaper/raw/main/IMG8.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
