Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
IMG1,https://github.com/ThalesSupport/aTVwallpaper/raw/main/IMG1.jpg,0:00:60,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
IMG2,https://github.com/ThalesSupport/aTVwallpaper/raw/main/IMG2.jpg,0:00:60,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
IMG3,https://github.com/ThalesSupport/aTVwallpaper/raw/main/IMG3.jpg,0:00:60,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
IMG4,https://github.com/ThalesSupport/aTVwallpaper/raw/main/IMG4.jpg,0:00:60,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
