Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
Blue,https://github.com/ThalesSupport/aTVwallpaper/raw/main/bluelogo.jpg,0:00:90,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
White,https://github.com/ThalesSupport/aTVwallpaper/raw/main/whitelogo.jpg,0:00:90,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
